drug,target
Xylometazoline,P35348
Xylometazoline,P18825
Phentolamine,P08913
Phentolamine,P35348
Cerulenin,P0A953
Cerulenin,P0A6R0
Cerulenin,P49327
Cerulenin,P0AAI5
Nebivolol,P08588
Nebivolol,P07550
Trazodone,P08913
Trazodone,P35367
Trazodone,P28223
Trazodone,P31645
Trazodone,P08908
Trazodone,P35348
Trazodone,P28335
Voacamine,P08183
Niflumic Acid,P51800
Niflumic Acid,P23219
Niflumic Acid,P47712
Niflumic Acid,P35354
Niflumic Acid,O60656
Niflumic Acid,P04054
Cevimeline,P20309
Cevimeline,P11229
Canagliflozin,P31639
Canagliflozin,P13866
Avibactam,Q9F663
Avibactam,Q9EXV5
Avibactam,P0AD63
Avibactam,P62593
Avibactam,A0A023W3H0
Avibactam,P0A9Z7
Avibactam,P37321
Avibactam,P0AD64
Avibactam,Q93CA2
Avibactam,Q9L5C7
Azlocillin,Q8XJ01
Benzphetamine,P08913
Benzphetamine,P35348
Benzphetamine,Q01959
Benzphetamine,Q05940
Methylphenidate,P31645
Methylphenidate,Q01959
Methylphenidate,P23975
Oxprenolol,P08588
Oxprenolol,P07550
Bupropion,Q01959
Bupropion,P23975
Bupropion,P32297
Zidovudine,O14746
Zidovudine,Q72547
L-Leucine,Q15031
L-Leucine,P54687
L-Leucine,Q9UIC8
L-Leucine,Q9P2J5
L-Leucine,O15382
L-Leucine,O60294
Fludiazepam,P47869
Fludiazepam,P78334
Fludiazepam,P28476
Fludiazepam,P18505
Fludiazepam,P14867
Fludiazepam,O00591
Fludiazepam,P47870
Fludiazepam,O14764
Fludiazepam,Q8N1C3
Fludiazepam,P31644
Fludiazepam,P34903
Fludiazepam,A8MPY1
Fludiazepam,P28472
Fludiazepam,Q99928
Fludiazepam,P24046
Fludiazepam,P18507
Carmustine,P00390
Latamoxef,P24228
Latamoxef,P42971
Latamoxef,P02919
Latamoxef,P02918
Acebutolol,P08588
Acebutolol,P07550
Phenelzine,P21397
Phenelzine,P80404
Phenelzine,P24298
Phenelzine,P27338
Phenelzine,Q16853
Phenelzine,Q8TD30
Phenelzine,Q9UGI5
Procaine,Q92952
Procaine,P21397
Procaine,Q8TCU5
Procaine,Q9Y5Y9
Procaine,Q9H2S1
Procaine,Q12791
Procaine,Q9UGI6
Procaine,P46098
Procaine,Q9NPA1
Procaine,P27338
Procaine,Q01959
Procaine,Q9Y691
Procaine,Q86W47
Procaine,Q16558
Procaine,O15554
Procaine,Q15822
Practolol,P08588
Dutasteride,P31213
Dutasteride,P18405
Pyridostigmine,P06276
Pyridostigmine,P22303
Trisalicylate-choline,P23219
Trisalicylate-choline,P35354
Pergolide,P08913
Pergolide,P21917
Pergolide,P28221
Pergolide,P21918
Pergolide,P14416
Pergolide,P28223
Pergolide,P18089
Pergolide,P25100
Pergolide,P08908
Pergolide,P21728
Pergolide,P35368
Pergolide,P35348
Pergolide,P28222
Pergolide,P35462
Pergolide,P28335
Pergolide,P41595
Pergolide,P18825
Activated charcoal,P06858
Repaglinide,P37231
Repaglinide,Q09428
Mebendazole,P68371
Mebendazole,Q71U36
Trihexyphenidyl,P20309
Trihexyphenidyl,P08173
Trihexyphenidyl,P08912
Trihexyphenidyl,P11229
Trihexyphenidyl,P08172
Micafungin,A2QLK4
Mimosine,P13500
Mimosine,P34896
Mimosine,P14679
Dimetacrine,P22303
Methocarbamol,P00915
Metixene,P20309
Metixene,P08173
Metixene,P08912
Metixene,P11229
Metixene,P08172
Trovafloxacin,P43700
Trovafloxacin,P43702
Trovafloxacin,P11388
Dipivefrin,P08913
Dipivefrin,P06276
Dipivefrin,P35348
Dipivefrin,P22303
Dipivefrin,P07550
Triptorelin,P30968
Doxapram,Q9NPC2
Doxapram,O14649
Bopindolol,P13945
Bopindolol,P08588
Bopindolol,P08908
Bopindolol,P28222
Bopindolol,P07550
Adefovir Dipivoxil,P24024
Carboprost Tromethamine,P34995
Oxybuprocaine,Q9Y5Y9
Belinostat,Q13547
Belinostat,Q8WUI4
Belinostat,Q9BY41
Belinostat,Q92769
Belinostat,Q969S8
Belinostat,Q96DB2
Belinostat,Q9UQL6
Belinostat,Q9UKV0
Belinostat,O15379
Belinostat,Q9UBN7
Belinostat,P56524
Succinylcholine,P20309
Succinylcholine,Q693P7
Succinylcholine,Q9GZZ6
Succinylcholine,P11229
Succinylcholine,P08172
Amifostine,P22413
Amifostine,P10696
WF10,Q7L5Y9
WF10,Q86VB7
Temsirolimus,P42345
Mycophenolic acid,P20839
Mycophenolic acid,P12268
Mycophenolate mofetil,P20839
Mycophenolate mofetil,P12268
Fluoxymesterone,P10275
Fluoxymesterone,P04150
Fluoxymesterone,P16471
Fluoxymesterone,P03372
Spirapril,P12821
Quinidine,Q12809
Quinidine,Q14524
Quinidine,Q9Y257
Quinidine,O00180
Darifenacin,P20309
Darifenacin,P08173
Darifenacin,P08912
Darifenacin,P11229
Darifenacin,P08172
Synthetic Conjugated Estrogens B,P03372
Tadalafil,O76074
Tadalafil,Q9HCR9
Verapamil,O00305
Verapamil,Q00975
Verapamil,Q12809
Verapamil,Q13698
Verapamil,P31645
Verapamil,Q14524
Verapamil,Q08289
Verapamil,O43497
Verapamil,O60840
Verapamil,Q14654
Verapamil,O00555
Verapamil,Q01668
Verapamil,Q02641
Verapamil,Q9P0X4
Verapamil,Q13936
Verapamil,P54284
Cephaloglycin,Q65HB5
Nilutamide,P10275
Sulfanilamide,P0AC13
Bepotastine,P35367
Pivampicillin,Q8XJ01
Hydromorphone,P35372
Hydromorphone,P41145
Hydromorphone,P41143
Hydrocortisone,P04150
Hydrocortisone,P04083
Bethanidine,P48048
Bethanidine,P08913
Bethanidine,P13945
Bethanidine,P08588
Bethanidine,P18089
Bethanidine,P07550
Bethanidine,P18825
Bezafibrate,P37231
Bezafibrate,Q07869
Bezafibrate,Q03181
Cefradine,P02918
Ipratropium bromide,P20309
Ipratropium bromide,P11229
Ipratropium bromide,P08172
Valrubicin,P11388
Antazoline,P35367
Cysteamine,P61278
Cysteamine,P49146
Nintedanib,P11362
Nintedanib,P35968
Nintedanib,P12931
Nintedanib,P17948
Nintedanib,P06239
Nintedanib,P22607
Nintedanib,P07948
Nintedanib,P36888
Nintedanib,P35916
Nintedanib,P21802
Anidulafungin,A2QLK4
Promethazine,P20309
Promethazine,P35367
Promethazine,P14416
Promethazine,P28223
Promethazine,P08173
Promethazine,P08912
Promethazine,P35348
Promethazine,P11229
Promethazine,P62158
Promethazine,P08172
Perampanel,P42261
Talbutal,P47869
Talbutal,P78334
Talbutal,P36544
Talbutal,P18505
Talbutal,P43681
Talbutal,P14867
Talbutal,O00591
Talbutal,P47870
Talbutal,P42262
Talbutal,Q13002
Talbutal,O14764
Talbutal,Q8N1C3
Talbutal,P31644
Talbutal,P34903
Talbutal,P28472
Talbutal,Q99928
Talbutal,P48169
Talbutal,Q16445
Talbutal,Q9UN88
Talbutal,P18507
Acetophenazine,P14416
Acetophenazine,P21728
Levobunolol,P08588
Levobunolol,P07550
Acetyldigitoxin,P05023
Mepenzolate,P20309
Mepenzolate,P11229
Propericiazine,P08913
Propericiazine,P21728
Propericiazine,P35368
Ixabepilone,Q13509
Topotecan,Q969P6
Topotecan,P11387
Cyclosporine,P30405
Cyclosporine,P62937
Cyclosporine,Q96LZ3
Cyclosporine,P49069
Bromopride,P14416
Meclofenamic acid,P23219
Meclofenamic acid,O43525
Meclofenamic acid,O43526
Meclofenamic acid,P35354
Meclofenamic acid,P09917
Mometasone,P04150
Estazolam,P47869
Estazolam,P78334
Estazolam,P28476
Estazolam,P18505
Estazolam,P14867
Estazolam,O00591
Estazolam,P47870
Estazolam,O14764
Estazolam,Q8N1C3
Estazolam,P31644
Estazolam,P34903
Estazolam,A8MPY1
Estazolam,P28472
Estazolam,Q99928
Estazolam,P48169
Estazolam,Q16445
Estazolam,Q9UN88
Estazolam,P24046
Estazolam,P18507
Glutethimide,P47869
Glutethimide,P78334
Glutethimide,P18505
Glutethimide,P14867
Glutethimide,O00591
Glutethimide,P47870
Glutethimide,O14764
Glutethimide,Q8N1C3
Glutethimide,P31644
Glutethimide,P34903
Glutethimide,P28472
Glutethimide,Q99928
Glutethimide,P48169
Glutethimide,Q16445
Glutethimide,Q9UN88
Glutethimide,P18507
Calcitriol,P11473
Butenafine,Q14534
Flavin adenine dinucleotide,P11310
Flavin adenine dinucleotide,Q15067
Flavin adenine dinucleotide,P16083
Flavin adenine dinucleotide,Q86YB8
Flavin adenine dinucleotide,Q56839
Flavin adenine dinucleotide,P10902
Flavin adenine dinucleotide,P47989
Flavin adenine dinucleotide,P16640
Flavin adenine dinucleotide,Q92947
Flavin adenine dinucleotide,P21397
Flavin adenine dinucleotide,P07771
Flavin adenine dinucleotide,P09063
Flavin adenine dinucleotide,P37062
Flavin adenine dinucleotide,P12676
Flavin adenine dinucleotide,P39662
Flavin adenine dinucleotide,P0C278
Flavin adenine dinucleotide,P55792
Flavin adenine dinucleotide,Q9UKU7
Flavin adenine dinucleotide,P28861
Flavin adenine dinucleotide,Q16881
Flavin adenine dinucleotide,P26440
Flavin adenine dinucleotide,P37747
Flavin adenine dinucleotide,Q12882
Flavin adenine dinucleotide,P24232
Flavin adenine dinucleotide,Q9AGP8
Flavin adenine dinucleotide,Q94655
Flavin adenine dinucleotide,O31616
Flavin adenine dinucleotide,P22570
Flavin adenine dinucleotide,Q47PU3
Flavin adenine dinucleotide,O95831
Flavin adenine dinucleotide,Q9RC23
Flavin adenine dinucleotide,Q52437
Flavin adenine dinucleotide,Q72JJ3
Flavin adenine dinucleotide,P28593
Flavin adenine dinucleotide,P42593
Flavin adenine dinucleotide,Q9LAG2
Flavin adenine dinucleotide,Q9Z4P0
Flavin adenine dinucleotide,P16435
Flavin adenine dinucleotide,P00390
Flavin adenine dinucleotide,P05327
Flavin adenine dinucleotide,P0A9P4
Flavin adenine dinucleotide,P00387
Flavin adenine dinucleotide,P18925
Flavin adenine dinucleotide,P29475
Flavin adenine dinucleotide,P16219
Flavin adenine dinucleotide,P00438
Flavin adenine dinucleotide,Q96RQ9
Flavin adenine dinucleotide,P27338
Flavin adenine dinucleotide,P15559
Flavin adenine dinucleotide,P35340
Flavin adenine dinucleotide,P61497
Flavin adenine dinucleotide,P61432
Flavin adenine dinucleotide,P0AEZ1
Flavin adenine dinucleotide,P58558
Flavin adenine dinucleotide,P38038
Flavin adenine dinucleotide,P00914
Flavin adenine dinucleotide,P21890
Flavin adenine dinucleotide,P06715
Flavin adenine dinucleotide,P09788
Flavin adenine dinucleotide,P08373
Flavin adenine dinucleotide,P09622
Flavin adenine dinucleotide,P06149
Flavin adenine dinucleotide,Q06319
Flavin adenine dinucleotide,P14218
Flavin adenine dinucleotide,O06934
Flavin adenine dinucleotide,Q9RA47
Flavin adenine dinucleotide,Q9UHQ9
Flavin adenine dinucleotide,P22637
Flavin adenine dinucleotide,P14920
Flavin adenine dinucleotide,P20586
Flavin adenine dinucleotide,P55789
Flavin adenine dinucleotide,P83223
Flavin adenine dinucleotide,P77967
Flavin adenine dinucleotide,Q44532
Flavin adenine dinucleotide,Q7SID9
Flavin adenine dinucleotide,P40859
Flavin adenine dinucleotide,Q888A4
Flavin adenine dinucleotide,Q51225
Flavin adenine dinucleotide,O05783
Flavin adenine dinucleotide,P37063
Flavin adenine dinucleotide,Q9KIE5
Flavin adenine dinucleotide,O53355
Flavin adenine dinucleotide,P09546
Flavin adenine dinucleotide,Q9WYT0
Flavin adenine dinucleotide,P19480
Perphenazine,P14416
Perphenazine,P21728
Perphenazine,P62158
Quinethazone,P00915
Quinethazone,P00918
Quinethazone,P55017
Quinethazone,Q13621
Quinethazone,P55011
Bifonazole,P10613
Bifonazole,P20813
Dalfampridine,Q09470
Dalfampridine,P22001
Dalfampridine,P17658
Dalfampridine,Q16322
Dalfampridine,P16389
Dalfampridine,Q9NSA2
Dalfampridine,Q9UK17
Dalfampridine,Q14721
Dalfampridine,Q92953
Dalfampridine,Q9NZV8
Dalfampridine,Q96RP8
Dalfampridine,P22459
Dalfampridine,Q14003
Dalfampridine,Q96PR1
Dalfampridine,P48547
Dalfampridine,P22460
Masoprocol,P09917
Carbimazole,P07202
Idarubicin,P11388
L-Glutamine,P15104
L-Glutamine,Q06203
L-Glutamine,P17812
Doxycycline,P61769
Doxycycline,P0A7V8
Doxycycline,Q9UM07
Doxycycline,P0A7X3
Diazoxide,P00915
Diazoxide,P00918
Diazoxide,P55017
Diazoxide,Q12791
Diazoxide,P05023
Diazoxide,Q14654
Sunitinib,P07333
Sunitinib,P09619
Sunitinib,P35968
Sunitinib,P17948
Sunitinib,P16234
Sunitinib,P36888
Sunitinib,P35916
Sunitinib,P10721
Thiocolchicoside,P47869
Thiocolchicoside,P78334
Thiocolchicoside,P23415
Thiocolchicoside,P18505
Thiocolchicoside,P14867
Thiocolchicoside,O00591
Thiocolchicoside,P47870
Thiocolchicoside,O14764
Thiocolchicoside,Q8N1C3
Thiocolchicoside,P31644
Thiocolchicoside,P34903
Thiocolchicoside,P28472
Thiocolchicoside,Q99928
Thiocolchicoside,P48169
Thiocolchicoside,Q16445
Thiocolchicoside,Q9UN88
Thiocolchicoside,O14788
Thiocolchicoside,P18507
Ulobetasol,P04150
Etacrynic acid,Q13621
Etacrynic acid,P05023
Amlodipine,P00915
Amlodipine,P54289
Amlodipine,Q00975
Amlodipine,Q13698
Amlodipine,Q6TME4
Amlodipine,Q08289
Amlodipine,Q8IZS8
Amlodipine,Q01668
Amlodipine,Q13936
Amlodipine,P17405
Diclofenac,P23219
Diclofenac,O43525
Diclofenac,O43526
Diclofenac,P78348
Diclofenac,P35354
Diclofenac,P09917
Diclofenac,P35499
Diclofenac,P14555
Dolutegravir,Q7ZJM1
Atomoxetine,Q8TCU5
Atomoxetine,P31645
Atomoxetine,O60391
Atomoxetine,Q14957
Atomoxetine,Q13224
Atomoxetine,Q05586
Atomoxetine,Q12879
Atomoxetine,Q01959
Atomoxetine,O15399
Atomoxetine,P23975
Droxidopa,P08913
Droxidopa,P00439
Droxidopa,P13945
Droxidopa,P08588
Droxidopa,P18089
Droxidopa,P25100
Droxidopa,P35368
Droxidopa,P35348
Droxidopa,P07550
Droxidopa,P18825
Prednisone,P04150
Prednisone,P28845
Enflurane,P47869
Enflurane,Q09470
Enflurane,P78334
Enflurane,P23415
Enflurane,P18505
Enflurane,P14867
Enflurane,P42261
Enflurane,O00591
Enflurane,P47870
Enflurane,P98194
Enflurane,P48167
Enflurane,O14764
Enflurane,Q8N1C3
Enflurane,P31644
Enflurane,P34903
Enflurane,P30049
Enflurane,P28472
Enflurane,Q99928
Enflurane,P48169
Enflurane,Q16445
Enflurane,O15554
Enflurane,Q9UN88
Enflurane,P18507
Chlormezanone,P30536
Ceftizoxime,P02919
Ceftizoxime,Q53707
Ceftizoxime,P0AD68
Ceftizoxime,P02918
Paliperidone,P08913
Paliperidone,P10635
Paliperidone,P21917
Paliperidone,P35367
Paliperidone,P28221
Paliperidone,P08684
Paliperidone,P14416
Paliperidone,P28223
Paliperidone,P18089
Paliperidone,P08908
Paliperidone,P21728
Paliperidone,P35368
Paliperidone,P35348
Paliperidone,P20815
Paliperidone,P35462
Paliperidone,P28335
Paliperidone,P18825
Ethosuximide,O43497
Vilazodone,P08908
Ethionamide,P0A5Y6
Ethionamide,Q08129
Quinacrine,P47712
Quinacrine,O60733
Quinacrine,Q15111
Quinestrol,P03372
Deserpidine,Q05940
Hydrocodone,P35372
Hydrocodone,P41143
Montelukast,Q9Y271
Montelukast,P09917
Choline,P49585
Choline,O14939
Choline,P06276
Choline,Q13393
Choline,Q8TCT1
Choline,Q9Y5K3
Choline,P22303
Sulfametopyrazine,Q27738
Ajmaline,Q14524
Estradiol,O75469
Estradiol,Q92731
Estradiol,P03372
Levomethadyl Acetate,P35372
Levomethadyl Acetate,P30926
Levomethadyl Acetate,P32297
Indapamide,P51787
Indapamide,P15382
Eltrombopag,P40238
Lenvatinib,P11362
Lenvatinib,P35968
Lenvatinib,P17948
Lenvatinib,P22607
Lenvatinib,P35916
Lenvatinib,P22455
Lenvatinib,P21802
Lenvatinib,P10721
Lasofoxifene,Q92731
Lasofoxifene,P03372
Tiotropium,P20309
Tiotropium,P11229
Tiotropium,P08172
Etodolac,P19793
Etodolac,P23219
Etodolac,P35354
Miglustat,Q16739
Azelastine,P35367
Loxapine,P47898
Loxapine,P20309
Loxapine,P08913
Loxapine,P21917
Loxapine,P35367
Loxapine,P28221
Loxapine,P21918
Loxapine,P14416
Loxapine,P28223
Loxapine,P08588
Loxapine,P18089
Loxapine,P31645
Loxapine,P08173
Loxapine,P25021
Loxapine,P08908
Loxapine,P08912
Loxapine,P21728
Loxapine,P28566
Loxapine,P35368
Loxapine,P46098
Loxapine,P35348
Loxapine,P28222
Loxapine,Q01959
Loxapine,P11229
Loxapine,P34969
Loxapine,P35462
Loxapine,P28335
Loxapine,P18825
Loxapine,P23975
Loxapine,P50406
Loxapine,P08172
Loxapine,Q9H3N8
Gliquidone,Q09428
Gliquidone,Q15842
Paclitaxel,P11137
Paclitaxel,O75469
Paclitaxel,P27816
Paclitaxel,P10415
Paclitaxel,P10636
Paclitaxel,Q9H4B7
Riboflavin,Q969G6
Riboflavin,P0AFU8
Riboflavin,P30043
Tiludronate,P18031
Tiludronate,P38606
Trimethadione,O43497
Aspartame,Q8NER1
Aspartame,Q8TE23
Diltiazem,Q06432
Carbinoxamine,P35367
Dextropropoxyphene,P35372
Dextropropoxyphene,P41145
Dextropropoxyphene,P41143
Cabergoline,P08913
Cabergoline,P21917
Cabergoline,P28221
Cabergoline,P21918
Cabergoline,P14416
Cabergoline,P28223
Cabergoline,P08588
Cabergoline,P18089
Cabergoline,P25100
Cabergoline,P08908
Cabergoline,P21728
Cabergoline,P35368
Cabergoline,P35348
Cabergoline,P28222
Cabergoline,P07550
Cabergoline,P34969
Cabergoline,P35462
Cabergoline,P28335
Cabergoline,P41595
Cabergoline,P18825
Vildagliptin,P27487
Emedastine,P35367
Anastrozole,P11511
Dyclonine,Q9Y5Y9
Tetrabenazine,P14416
Tetrabenazine,Q05940
Fluticasone Propionate,P06401
Fluticasone Propionate,P04150
Fluticasone Propionate,P47712
Fluticasone Propionate,P08235
Pipotiazine,P14416
Pipotiazine,P28223
Pipotiazine,P08908
Pipotiazine,P21728
Josamycin,P44345
Pazopanib,Q9UQQ2
Pazopanib,P09619
Pazopanib,P35968
Pazopanib,P17948
Pazopanib,P22607
Pazopanib,P05230
Pazopanib,Q08881
Pazopanib,P16234
Pazopanib,P35916
Pazopanib,P10721
Desipramine,P20309
Desipramine,P08913
Desipramine,P35367
Desipramine,P14416
Desipramine,P28223
Desipramine,P08588
Desipramine,P18089
Desipramine,P31645
Desipramine,P08173
Desipramine,P25100
Desipramine,P08908
Desipramine,P08912
Desipramine,P35368
Desipramine,P35348
Desipramine,P07550
Desipramine,P11229
Desipramine,P28335
Desipramine,P18825
Desipramine,P23975
Desipramine,P17405
Desipramine,P08172
Emtricitabine,Q72547
Nevirapine,Q72547
Reserpine,Q05940
Reserpine,P54219
Tolazamide,P48048
Flunisolide,P04150
Terconazole,P10613
Lamotrigine,Q99250
Telmisartan,P37231
Telmisartan,P30556
Dopamine,P21917
Dopamine,P21918
Dopamine,P14416
Dopamine,P31645
Dopamine,P08908
Dopamine,P21728
Dopamine,Q01959
Dopamine,P34969
Dopamine,P35462
Dopamine,P23975
Dopamine,P09172
Fluvoxamine,P31645
Gallamine Triethiodide,P22303
Gallamine Triethiodide,Q15822
Gallamine Triethiodide,P08172
Dantrolene,P21817
Mesoridazine,P14416
Mesoridazine,P28223
Asenapine,P47898
Asenapine,P08913
Asenapine,P21917
Asenapine,P35367
Asenapine,P14416
Asenapine,P28223
Asenapine,P08588
Asenapine,P18089
Asenapine,P25021
Asenapine,P08908
Asenapine,P21728
Asenapine,P35348
Asenapine,P28222
Asenapine,P07550
Asenapine,P34969
Asenapine,P35462
Asenapine,P28335
Asenapine,P41595
Asenapine,P18825
Asenapine,P50406
Celecoxib,O15530
Celecoxib,P35354
Pralatrexate,P04818
Pralatrexate,P00374
Dextroamphetamine,P35368
Dextroamphetamine,P35348
Dextroamphetamine,Q96RJ0
Dextroamphetamine,Q01959
Dextroamphetamine,Q05940
Dextroamphetamine,P23975
Pethidine,P20309
Pethidine,P35372
Pethidine,P31645
Pethidine,P08173
Pethidine,P41145
Pethidine,P08912
Pethidine,Q14957
Pethidine,Q13224
Pethidine,Q05586
Pethidine,Q12879
Pethidine,Q01959
Pethidine,P11229
Pethidine,O15399
Pethidine,P23975
Pethidine,P08172
Indinavir,Q72874
Tranexamic Acid,P00747
Ibrutinib,Q06187
Inulin,Q9F0I5
Ceftazidime,Q75Y35
Ceftazidime,P72161
Ceftazidime,Q9X6W0
Ceftazidime,Q8DR59
Ceftazidime,Q9X6V3
Ceftazidime,P02919
Ceftazidime,P0AD68
Ceftazidime,P0AD65
Ceftazidime,P02918
Colchicine,P07437
Colchicine,Q9H4B7
Atenolol,P08588
Atenolol,P07550
Lansoprazole,P20648
Carbetocin,P30559
Nisoldipine,P54289
Nisoldipine,Q13698
Nisoldipine,Q08289
Nisoldipine,Q01668
Nisoldipine,Q13936
Tofisopam,O00408
Tofisopam,Q14432
Tofisopam,P27815
Tofisopam,Q9Y233
Phenol,P00720
Phenol,Q05603
Phenol,P43133
Glycodiazine,P48048
Glycodiazine,Q09428
Clindamycin,P0A7J6
Dicoumarol,Q9BQB6
Dicoumarol,P15559
Dicoumarol,Q08257
Aripiprazole,P20309
Aripiprazole,P08913
Aripiprazole,P21917
Aripiprazole,P35367
Aripiprazole,P28221
Aripiprazole,P21918
Aripiprazole,P14416
Aripiprazole,P28223
Aripiprazole,P18089
Aripiprazole,P08173
Aripiprazole,P08908
Aripiprazole,P08912
Aripiprazole,P21728
Aripiprazole,P28566
Aripiprazole,P35368
Aripiprazole,P46098
Aripiprazole,P35348
Aripiprazole,P28222
Aripiprazole,P11229
Aripiprazole,P34969
Aripiprazole,P35462
Aripiprazole,P28335
Aripiprazole,P18825
Aripiprazole,P50406
Aripiprazole,P08172
Sulfamethazine,P0AC13
Meclizine,P35367
Sufentanil,P35372
Sufentanil,P41145
Sufentanil,P41143
Ursodeoxycholic acid,P52895
Metyrosine,P07101
Alfuzosin,Q12809
Alfuzosin,P25100
Alfuzosin,P35368
Alfuzosin,P35348
Aprobarbital,P47869
Aprobarbital,P36544
Aprobarbital,P43681
Aprobarbital,P14867
Aprobarbital,P42262
Aprobarbital,Q13002
Aprobarbital,P31644
Aprobarbital,P34903
Aprobarbital,P48169
Aprobarbital,Q16445
Fluorouracil,P04818
Desoximetasone,P04150
Dexrazoxane,Q02880
Dexrazoxane,P11388
Chlorprothixene,P20309
Chlorprothixene,P35367
Chlorprothixene,P14416
Chlorprothixene,P28223
Chlorprothixene,P08173
Chlorprothixene,P08912
Chlorprothixene,P21728
Chlorprothixene,P11229
Chlorprothixene,P35462
Chlorprothixene,P28335
Chlorprothixene,P41595
Chlorprothixene,P08172
Dextrothyroxine,P07202
Dextrothyroxine,P10827
Dextrothyroxine,P10828
Clobetasol propionate,P04150
Plerixafor,P61073
Methyl aminolevulinate,P12314
Proparacaine,Q9Y5Y9
Acetylcholine,P22303
Flunarizine,P35367
Flunarizine,O95180
Flunarizine,O43497
Flunarizine,P62158
Flunarizine,Q9P0X4
Ziprasidone,P20309
Ziprasidone,P08913
Ziprasidone,P21917
Ziprasidone,P35367
Ziprasidone,P28221
Ziprasidone,P21918
Ziprasidone,P14416
Ziprasidone,P28223
Ziprasidone,P18089
Ziprasidone,P08173
Ziprasidone,P08908
Ziprasidone,P08912
Ziprasidone,P21728
Ziprasidone,P28566
Ziprasidone,P35368
Ziprasidone,P46098
Ziprasidone,P35348
Ziprasidone,P28222
Ziprasidone,P11229
Ziprasidone,P34969
Ziprasidone,P35462
Ziprasidone,P28335
Ziprasidone,P18825
Ziprasidone,P50406
Ziprasidone,P08172
Oxacillin,Q7CRA4
Oxacillin,Q8XJ01
Oxacillin,D6R448
Oxacillin,Q75Y35
Oxacillin,Q8DR59
Oxacillin,Q16348
Oxacillin,P0A3M6
Oxacillin,Q8DNB6
Oxacillin,P46059
Gabapentin,P54289
Gabapentin,Q00975
Gabapentin,Q8TCU5
Gabapentin,O60391
Gabapentin,P30542
Gabapentin,Q14957
Gabapentin,Q13224
Gabapentin,Q05586
Gabapentin,Q12879
Gabapentin,O15399
Gabapentin,Q9NY47
Esomeprazole,P20648
Trospium,P11229
Tamoxifen,P41743
Tamoxifen,P05129
Tamoxifen,Q02156
Tamoxifen,P05771
Tamoxifen,Q92731
Tamoxifen,Q15125
Tamoxifen,Q05513
Tamoxifen,P17252
Tamoxifen,Q05655
Tamoxifen,Q04759
Tamoxifen,P03372
Gonadorelin,P30968
Gonadorelin,Q96P88
Demecarium,P06276
Demecarium,P22303
Lamivudine,Q05486
Lamivudine,Q72547
Sulfamerazine,P0AC13
Furosemide,P00918
Furosemide,Q13621
Apomorphine,P08913
Apomorphine,P21917
Apomorphine,P28221
Apomorphine,P21918
Apomorphine,P14416
Apomorphine,P28223
Apomorphine,P18089
Apomorphine,P08908
Apomorphine,P21728
Apomorphine,P28222
Apomorphine,P35462
Apomorphine,Q9NYX4
Apomorphine,P28335
Apomorphine,P41595
Apomorphine,P18825
Methylprednisolone,P04150
Sulfinpyrazone,P33527
Sulfinpyrazone,Q92887
Norfloxacin,P43700
Norfloxacin,P43702
Norfloxacin,P11388
Vitamin C,O14832
Vitamin C,Q32P28
Vitamin C,Q6N063
Vitamin C,Q9NXG6
Vitamin C,Q8IVL6
Vitamin C,Q54873
Vitamin C,P09848
Vitamin C,Q9UHI7
Vitamin C,P19021
Vitamin C,Q8IVL5
Vitamin C,O60568
Vitamin C,O75936
Vitamin C,P13674
Vitamin C,Q9GZT9
Vitamin C,Q9H6Z9
Vitamin C,Q6NS38
Vitamin C,P24300
Vitamin C,Q96KS0
Vitamin C,Q02809
Vitamin C,Q9BY66
Vitamin C,O00469
Vitamin C,Q9NVH6
Vitamin C,Q8N543
Vitamin C,P09172
Vitamin C,Q96Q83
Zoledronic acid,O95749
Zoledronic acid,P14324
Paricalcitol,P11473
Procaterol,P07550
Alprenolol,P08588
Alprenolol,P08908
Alprenolol,P07550
Diclofenamide,P00915
Diclofenamide,P00918
Diclofenamide,P43166
Diclofenamide,P22748
Finafloxacin,P43700
Finafloxacin,P43702
Finafloxacin,P11388
Bupivacaine,Q9Y5Y9
Bupivacaine,P34995
Spectinomycin,P0A7S3
Ethopropazine,Q8TCU5
Ethopropazine,P11229
Ethopropazine,P08172
Levetiracetam,Q00975
Levetiracetam,Q7L0J3
Alogliptin,P27487
Doxorubicin,P11388
Cinchocaine,Q9Y5Y9
Cinchocaine,Q14524
Cinchocaine,P62158
Amyl Nitrite,P16066
Estriol,Q92731
Estriol,P03372
Thiothixene,P14416
Thiothixene,P28223
Thiothixene,P21728
Tesamorelin,Q02643
Buclizine,P35367
Buclizine,P11229
Dimetindene,P35367
Dimetindene,P08172
Cidofovir,P08546
Clomipramine,P28223
Clomipramine,P31645
Clomipramine,P09211
Clomipramine,P28335
Clomipramine,P41595
Clomipramine,P23975
Fenoprofen,P23219
Fenoprofen,P35354
Glycopyrronium,P20309
Glycopyrronium,P11229
Glycopyrronium,P08172
Ergotamine,P08913
Ergotamine,P28221
Ergotamine,P21918
Ergotamine,P14416
Ergotamine,P28223
Ergotamine,P18089
Ergotamine,P25100
Ergotamine,P08908
Ergotamine,P21728
Ergotamine,P35368
Ergotamine,P35348
Ergotamine,P28222
Ergotamine,P30939
Ergotamine,P28335
Ergotamine,P23975
Halofantrine,Q12809
Halofantrine,P46925
Dalfopristin,P50870
Frovatriptan,P28221
